Product,Consumer complaint narrative
Credit reporting or other personal consumer reports,"I have come across the CFPB Equifax lawsuit. I am also a victim of "" sham '' investigations of credit report errors. I have been negatively impacted as a consumer by Equifax. They have ignored and/or refuse to provide transcripts of how Equifax has XXXX verified '' the errors and inaccuracies on my credit profile, that the other credit reporting agencies ( XXXX XXXX XXXX XXXX XXXX, and others ) have removed from my credit profile for having errors and inaccuracies. As a victim of identity theft I understand accordingly with FCRA 605b all accounts resulting of Identity theft must be removed in 4 days from this notice. Please provide a full transcript on what you verified, when it was verified, who verified it, and how it was verified."
Student loan,I have multiple student loans that were consolidated with Navient. After struggling to make payments I chose a deferment on my account. Once the deferment was over 1 payment would come out every month automatically but apparently another wasnt set up for autopay. I did not know I had missed multiple payments until they started harassing me about my account. Because I had missed multiple payments of 400 or more dollars a month I was unable to get caught up and my loan defaulted. So now I am rehabilitating my loan to get it out of default and hopefully off of my credit report. As soon as I am done rehabilitating my loan I will be switching companies.
Debt collection,"b'DATA REMOVAL DIRECTIVE\nInformation Improperly Used and Required to Be Permanently Deleted\n\nNationstar Mortgage LLC d/b/a Mr. Cooper has improperly retained, used, and misrepresented the following information in connection with an account belonging to XXXX XXXX, despite having no lawful basis to do so.\n\nNationstar is directed to permanently delete (not suppress, mask, or flag) the following information from all systems, including internal servicing platforms, archival databases, vendor systems, downstream data feeds, credit reporting interfaces, and notice-generation workflows.\n\XXXX. Address Information  ALL VARIANTS MUST BE REMOVED\n\nXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX\n\nThis includes all spelling variations, abbreviations, truncations, formatting differences, and alias fields. Partial deletion or address suppression is not acceptable.\n\XXXX. Additional Addresses Improperly Used or Retained\n\nXXXX XXXX XXXX XXXX XXXX\n\nXXXX XXXX XXXX XXXX XXXX Telephone Numbers Improperly Retained or Used\n\nXXXX Personal Names Improperly Associated With the Account\n\nXXXX XXXX\n\nXXXX XXXX XXXX XXXX XXXX\n\nNationstar has never had any borrower, credit, payment, or contractual relationship with any of the above individuals.\n\XXXX. Sensitive Identifier Improperly Used or Retained\n\nSocial Security Number ending in XXXX\n\nThis identifier must be permanently deleted from all systems, logs, and historical records and confirmed as removed.\n\nREQUIRED VERIFICATION OF DELETION\n\nNationstar must provide documented proof that the above information has been:\n\nPermanently deleted (not masked, hidden, or marked inactive)\n\nRemoved from all internal systems and XXXX-party/vendor systems\n\nRemoved from all future reporting, notice, and data-sharing workflows\n\nAudited to ensure no variant spellings or aliases remain\n\nAcceptable proof includes:\n\nSystem screenshots showing deletion\n\nAudit or change logs\n\nA sworn certification from a records custodian or compliance officer\n\nREQUIRED ACKNOWLEDGEMENT (LINKED TO DATA REMOVAL)\n\nNationstar must also acknowledge in writing that:\n\nI am the sole owner and exclusive occupant of XXXX XXXX XXXX XXXX XXXX XXXX with my XXXX children since XXXX XXXX XXXX does not reside at, occupy, or own the property\n\nNationstar has no debt or credit relationship with me or my family\n\nNationstar may not send correspondence to my property for XXXX XXXX\n\nNON-NEGOTIABLE CONDITION\n\nThis directive does not depend on whether Nationstar has alternate contact information for XXXX XXXX.\nThat responsibility rests solely with Nationstar.\n\nFailure to remove all listed data and all variants constitutes continued material misrepresentation and an ongoing regulatory violation.\n\nNationstar Mortgage LLC d/b/a Mr. Cooper  Ongoing Records Misuse, Material Misrepresentation, and Cease-and-Desist Violations\n\nNationstar Mortgage LLC d/b/a Mr. Cooper (Nationstar) has, for years, serviced an account associated with XXXX XXXX using my legal and mailing address, despite having actual notice that he moved from the property in XXXX XXXX and that ownership of the property transferred to me in XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX I am the sole owner and exclusive occupant, residing there full-time with my XXXX  children. I have never had any borrower, credit, or debt relationship with Nationstar.\n\nImproper Use of My Address\n\nNationstar has refused to remove my address as XXXX XXXX legal and mailing address and has exclusively directed correspondence and notice to my home for approximately four years, and nowhere else.\n\nThe fact that XXXX XXXX lived at the property years ago does not authorize Nationstar to continue using my address as though it is his. Past residence does not create an ongoing right to use a third partys property as a proxy address once that person has moved.\n\nNationstar has pretended he did not move, pretended he still lives here, and pretended he still owns or occupies the property, despite written notice and acknowledgement to the contrary.\n\nMisrepresentation of Ownership and Occupancy\n\nBy continuing to use my address foXXXX XXXX XXXX, Nationstar has misrepresented the ownership, occupancy, and legal status of my property.\n\nThese misrepresentations have caused XXXX  parties to act as if XXXX XXXX still resides at or retains an interest in the property, including actions and filings in town land records. He does not and has not for four years.\n\nI have been forced to take multiple legal actions to protect my rights and undo the harm caused by Nationstars refusal to stop using my address and correct its records.\n\nFailure to Report Ownership Transfer to the VA (XXXX)\n\nNationstar acknowledged the ownership transfer in writing, yet failed to report the change of ownership to the VA through XXXX, despite this being a required reporting obligation.\n\nFailure to report a change in ownership for multiple years is not an oversight or clerical error. It is a material misrepresentation that allowed XXXX  parties to proceed for years under false assumptions regarding ownership and occupancy.\n\nI reported this failure to the VA. The VA technician assigned to XXXX XXXX  account responded in writing, acknowledged my report, accepted and retained the documentation I provided, updated the VA case notes to reflect the correct ownership and occupancy status, and directed me to the regulations governing Nationstars obligation to update records and notify third parties when ownership changes are received.\n\nDespite this, Nationstar has still not corrected its records.\n\nIgnoring Returned Mail and Actual Notice\n\nNationstar has ignored years of Return-to-Sender (RTS) mail. All mail addressed to XXXX XXXX  at my address is automatically returned by the U.S. Postal Service after I complained to the Postmaster regarding improper use of my address for a former owner.\n\nNationstar knowingly ignored these returns and continued mailing anyway, allowing downstream parties to proceed for years as if XXXX XXXX still lives here.\n\nCease-and-Desist Violations\n\nA cease-and-desist is already in place. Nationstar may not:\n\n Send correspondence to my address for a person who does not live here\n Ignore returned mail and continue mailing anyway\n Use my property as a proxy for borrower notice\n\nI have never had an account with Nationstar. Continued mailing to my property in a former owners name is a violation of the cease-and-desist.\n\nMisuse of Personal and Family Information\n\nNationstar has improperly retained, used, and misrepresented personal and contact information belonging to me and my familyindividuals with no credit or contractual relationship with Nationstar.\n\nThis includes misuse of addresses, phone numbers, names, and a Social Security number fragment, and improper contact with my elderly mother, including coercing over XXXX from her under misrepresentations about alleged debt threatening my housing and my childrens stability. Her bank information was stored without consent, charged again, overdrawing the account and causing a tax payment to bounce.\n\nThis conduct is part of the same records-misuse pattern and materially affects my safety and legal standing.\n\nNot a Duplicative Complaint\n\nI have made prior complaints to Nationstar, the CFPB, and other regulatory bodies. Nationstar routinely claims it need not respond to duplicative requests and reattaches prior responses.\n\nThose responses did not take the required corrective action. The information remains uncorrected. The violations are ongoing.\n\nThis complaint is not duplicative. It reports a still-unresolved, continuing failure to correct records, despite notice, acknowledgement, and regulatory confirmation of Nationstars obligations.\n\nSummary\n\nNationstar has:\n\n Continued using my address for a former owner after notice\n Misrepresented ownership and occupancy\n Failed to report ownership changes as required\n Ignored returned mail and cease-and-desist requirements\n Allowed downstream misrepresentations to persist for years\n\nThis is a systemic records-misuse issue within the CFPBs supervisory authority.'"
Credit reporting or other personal consumer reports,"A collection account for a wireless phone bill was added to my credit report on XX/XX/XXXX, XXXXwithout my knowledge. That same month, I XXXX XXXX XXXX. I had no reason to check my credit report at that time and was never notified by mail, phone, or email that a new debt had been placed in my name. 

I later learned that XXXX XXXX had fraudulently opened this account under my name without my knowledge or consent. He then abandoned the bill, which eventually went to collections. I was never informed of this account by the original creditor or the collection agency, nor was I given an opportunity to dispute it at the time it was created or reported. 

I only became aware of this debt in XX/XX/XXXX, nearly XXXX years later, when my mortgage lender flagged it during a loan assumption process. This was the first time I had ever seen it on my credit report. I immediately filed disputes with all three credit bureaus. 

One bureau marked the dispute as resolved and the account closed. 

Another verified the dispute and reported the information as updated. 

The third has not responded, so I refiled the dispute and am currently waiting for confirmation. 

In XX/XX/XXXX, I spoke with a representative from the original creditor who told me the dispute was accepted and that the collection agency would be notified the debt was not mine. Despite that, the collection agency claims it is still waiting on confirmation from the original creditor and continues to report the account as "" in dispute. '' I am now stuck in a loop where neither the creditor nor the collections agency will take responsibility, and my mortgage assumption can not close until I provide formal documentation that the dispute is resolved. This is a legal condition of my XXXX XXXX, and despite my proven financial history, my lender will not move forward while this account remains flagged."
Debt collection,"I want to stress that I did not give written permission for these specific transactions to be included in my consumer report. At no point did I authorize these entries, and their presence on my report is unwarranted. Consequently, I am formally requesting that these accounts be blocked and removed from my report immediately. It is important to clarify that this request is not due to any error or negligence on my part. There has been no oversight or misunderstanding on my end. Instead, this issue arises solely from the fact that I did not explicitly authorize the inclusion of these transactions in my report. I am diligent about maintaining the accuracy and privacy of my financial records, and these unauthorized entries compromise that integrity. I trust that you will handle this matter with the urgency and seriousness it deserves. Please confirm the removal of these transactions from my report as soon as possible. Thank you for your prompt attention to this issue."
Credit card or prepaid card,"merchant : XXXX XXXX credit card co : Chase I have tried multiple times to resolve this with my credit card company since XXXX. They are now telling me that it is past the date and I have no recourse for a fraudulent charge on my card. The merchant XXXX XXXX has a a history or overcharging our card and manipulating invoices. 

I have submitted documentation multiple times, and Chase has chosen to either ignore my documentation or take the manipulated documents from the merchant as valid. 

I have original email correspondence from the merchant of the original emailed invoices, they emailed altered invoices to Chase to document the charges. 

I have emailed, faxed and called Chase on multiple occasions regarding these charges with little or no resolution. They keep telling me to wait for a letter in the mail, but when the mail comes and I send documentation back, there is no way to know if someone is working on it. I last spoke to a representative from Chase today at XXXX Hawaii Time.  His name was XXXX and now he tells me I have no recourse because too much time has passed. I started this in XXXX. I last called and submitted documentation on XX/XX/XXXX. They told me to wait up to 30 days, now he tells me that too much time has passed? 

I have more documentation to submit if necessary, history of emails, fax transmittals etc, but I was not given an opportunity to discuss what information they thought was valid and invalid. 

I am so appalled that my credit card company is not protecting me from this deceptive vendor and the representative would not tell me why they think the charge is valid, only that there is no further recourse."
Mortgage,"BAC directed us to contact the assigned customer relationship manager ( CRM ) XXXX XXXX, at XXXX, extension XXXX, in order to initiate a short sale review. 

We have called several times and left several voicemails both for XXXX and her manager. Neither XXXX nor her manager will call us back. 

****No one at BAC will follow the direction of their own Resolution Specialist, XXXX XXXX from their Regulatory Complaints department. **** -- -see attached from XXXX XXXX XXXX 

THIS IS NOT ACCEPTABLE. 

CC : XXXX XXXX, California Attorney General"
Credit card,"What happened XXXX XXXX I have held a Citibank credit card for almost 20 years with a fixed APR of around 5 %. Without my consent or notice, Citibank raised my APR to 17.9 %. I do not know when this happened.

During multiple calls to Citibank regarding this change, I experienced abusive and misleading behavior from overseas supervisors and agents : Hung up on by two supervisors/managers who were rude and accusatory. One stated, It is a privilege that we give you a credit card.

Told incorrectly that Citibank can change my APR whenever they want.

Told incorrectly that the only way to request APR history is to send a physical letter.

Received conflicting information regarding promotional APRs.

I am requesting Citibank produce a full APR history from account opening to present, retrieved from archived records, copies of any notices of rate changes, and review of abusive and misleading behavior by supervisors/managers. 

I request that all account history and APR change records be provided from U.S.-based systems to ensure complete and accurate information.

This complaint is submitted under the Truth in Lending Act ( TILA ) and CARD Act, and I request that the CFPB compel Citibank to provide complete historical data and a full explanation for the APR increase."
Consumer Loan,"I traded in my Vehicle on XXXX XXXX, 2016, My ten day payoff was {$6900.00}. The next due date was XXXX XXXX 2016. I received over 10 "" ROBO Calls '' at work, and when I finally called them back the lady was very rude and refusing to listen to anything I had to say, Only demanding payment immediately. I told her I have proof the vehicle was traded in and she said it does n't matter, You 're responsible for the loan. I told her that The dealership has proof that they received the payment, and they had acquired the lein release and sold the vehicle. Her response was that I now had 24 hours to pay the balance of XXXX or I would face legal action. I told her that she can not pursue legal action as it has only been 1 day past due, WITH record that the account in question was paid off. I also asked her why the balance is so high. She said they add interest daily, which is nowhere to be found on my contract. I ask to speak with a manager, and she puts me on hold. She comes back and says he will not speak to me because everything she has told me is the truth and I am just lying to get out of a payment, then she hung up on me. I immediately received THREE more robocalls ( This is after XXXX )."
Debt collection,"I have disputed this insurance debt with the collection company for the past 2 yrs. they refuse to send me information about the debt, also they refuse to send debt validation. According to FCRA, they must provide information about rhe debt if the consumer requests it in writing, which I have more than 4 times."
"Money transfer, virtual currency, or money service","I am filing a complaint against Cash App ( Block , Inc. ) due to Inadequate customer service and unfair practices, which violate the consumer financial protection act ( CFPA ). Specifically, Cash App failed to take timely and effective measures to prevent any address fraud on their platform, leaving my account vulnerable and unprotected. Furthermore, their dispute resolution process was unfair and deceptive, as they did not comply with error resolution requirements under the electronic fund transfer act ( EFTA ) and regulation E. These actions have caused significant inconvenience and financial loss, and I see appropriate reddress for these violations."
Credit reporting or other personal consumer reports,"XXXX XXXX XXXXXXXX XXXX XXXX XXXXXXXX XXXX, PA XX/XX/year> To : DEP ED NELNET Nelnet, XXXX. XXXX XXXX, XXXX, XXXX XXXX EQUIFAX XXXX XXXXXXXX XXXX, XXXX, GA XXXX ______________________________________ XXXX XXXX XXXX XXXXXXXX XXXX, XXXX, PA XXXX Subject : Formal Dispute of Student Loan Account No Contract, No Proof of Debt Pursuant to 15 USC 1681i ( FCRA ) and 15 USC 1692g ( FDCPA ), I am disputing the accuracy and validity of the above-referenced account currently appearing on my credit file. 



This account is being reported as if I owe a debt. I have no contract or agreement with your company, and I demand full validation. You are required to provide the following : The original, wet-ink promissory note containing my signature. 
A full transactional accounting ledger proving that you ( or the original lender ) loaned me actual funds from your own account, rather than funds generated from my signature. 
Proof that the debt has not been sold, transferred, securitized, or otherwise paid by third parties. 
Proof of your legal standing as the holder in due course of the alleged obligation. 


Verification through mere database confirmation or third-party reporting does not satisfy federal requirements. If you can not produce the above within the statutory time limit, you must immediately remove this account from my credit file and cease all collection activity. 

Failure to respond with full validation within 30 calendar days will be taken as your agreement that no such records exist and that the debt is unsubstantiated, requiring deletion of all related entries"
Debt or credit management,"I enrolled with XXXX XXXX in XX/XX/year> after being referred by XXXX XXXX XXXX. I have paid a total of {$14000.00} into this program, with monthly payments of {$1300.00}. XXXX XXXX promised to negotiate with my creditors, handle any legal matters, and provide protection through their legal program. 

Despite following their directions exactly, including the guidance to ignore the first XXXX settlement offers ( which came from XXXX XXXX XXXX and was confirmed through Gitmeids representatives ), I am now facing XXXX active lawsuits and multiple creditor summonses. XXXX XXXX has failed to defend me effectively or make progress on my accounts. 

When I have contacted them for help, I have only received scripted and impersonal responses with no meaningful plan or action. I was recently told that unless I increased my payment by {$500.00} per month, they could not defend me in XXXX of the lawsuits. This contradicts the original agreement, which promised that my payment amount would remain fixed and sufficient to handle all legal matters. 

I have already paid over XXXX XXXX dollars, yet most of that money appears to have gone toward company fees rather than creditor settlements. XXXX XXXX has not provided the service promised, has not offered real solutions, and has left me in a far worse financial position than before I started the program. 

I am requesting a full accounting of all funds, immediate closure of my account, refund of remaining escrowed money, and a formal investigation into XXXX XXXX for deceptive and misleading practices."
Checking or savings account,"USbank closed my account but did not delete my information. It is unlawful. I need them to delete all my account information on my online banking. 

They closed both my checking and credit card account. The checking account information has been deleted, but the information of my credit card still remains on my online banking account. It has my name, address, phone number and all important informations. 

USbank does not provide any reason to close my account. That is fine, although this is stupid because I did not violate anything. But I have the right to require them to delete all my personal information online."
Debt collection,"Complaint, QWR and DVR. On XX/XX/XXXX and XX/XX/XXXX my daughter was in XXXX XXXX where she wanted to personally deliver my XX/XX/XXXX payment to the owner of the obligation and verify accuracy of all amounts because Servicer 's XXXX XXXX XXXX XXXX XXXX XXXX XXXX ( who operates owned by XXXX 's Mortgage Servicing Platform MSP ) always lists false, misleading, inaccurate, fabricated amounts which XXXX Servicers XXXX, XXXX and XXXX XXXX print and send to me under glimpse of fake company PennyMac Loan Services , LLC ( a single member XXXX registered by XXXX XXXX in XXXX with consent from the US Treasury to defraud homeowners and Courts ) I sent numerous requests to provide me the name and the address of the accountant of the owner of the obligation to personally deliver my payment - without any accord. 

All "" Reinstatement Quotes '' and "" Total Payoff '' statements have XXXX XXXX XXXX, XXXX, CA as "" PennyMac Loan Services , LLC '' "" owned '' or as their "" main '' business property. The same address is listed in SEC filings, in Recorders offices, in Court documents and in correspondence with homeowners.

After we were unsuccessful to find a contact information for the accountant or bookkeper to whom my daughter can personally deliver my payment, we made our own research who is the actual owner of this property who demands from me and who actually gets my payments. 

Of course it is NOT fake company PennyMac Loan Services , LLC who is not even listed at XXXX XXXX XXXX as a Tenant. 

The REAL owner is Bank XXXX XXXX who is acting via complex chain of FAKE empty shell corporations like XXXX XXXX XXXX, XXXX and straw men like XXXX XXXX XXXX who on XX/XX/XXXX registered a fake company XXXX XXXX XXXX XXXX as the "" owner of XXXX XXXX XXXX and successfully forgot about this fraudulent company - because in XX/XX/XXXX XXXX XXXX secretly transferred the Deed of Trust to XXXX XXXX XXXXXXXX- who does not appear in any Court or SEC documents as the actual owner of this property and who is using fake company PennyMac Loan Services , LLC as its cover up in this amazing fraud and gigantic money laundering scheme Moreover, all my prior payments were collected by XXXX XXXX XXXXXXXX via complex chain of XXXX XXXX and XXXX companies like owned by XXXX XXXX XXXX XXXX, XXXX This is my QWR/DVR : Disclose why XXXX XXXX XXXX XXXX me for money and secretly collects my payments via complex chain of faux XXXX What XXXX XXXX XXXXXXXX does with my payments? Does XXXX keep my payments for themselves or forward them to someone else? 

Please provide me name and direct contact information for the accountant or bookkepper who has personal knowledge how all amounts are calculated, how they are applied ; how much was paid during this bankruptcy and to whom and how much is still unpaid. 

Awaiting for your prompt response Very truly yours XXXX XXXX"
Checking or savings account,"I was charged {$860.00} for an auto bill pay that I never authorized. I have never paid my credit card this way. So I called Wells Fargo to complete a payment reversal on my account on XX/XX/XXXX, they mentioned that it would take 3 business days for this action to be completed. It is now 4 business days and they are suddenly changing their tune and have not given me back my {$860.00}."
Credit card or prepaid card,Back in XX/XX/XXXX or XX/XX/XXXX I called Capital One to see if they had any hardship programs that I might qualify for because I was unable to make my monthly minimum payment due to a medical issue I am suffering. They transferred me to a special department and the woman I talked to found a program for me. As it was explained to me what would happen was Capital One would stop charging any late fees on both my cards as long as I paid the agreed upon amount each month by the 4th Wednesday of every month which is when I receive my XXXX check. She asked me how much could I afford and I told her $XXXX on each of the cards. I asked about getting the interest rate reduced and she explained that they did not have a program at that time that would allow her to do that. So I asked her to go over how the program she was offering me was going to work. It is very important to keep in mind that she kept referring to this arrangement as the “program” that I qualified for. How it was explained was that as long as I paid $XXXX per month on each of my two cards Capital One would not charge any late fees and I would stay on the program until I brought the accounts current. If I missed any payments the program would automatically end. I agreed to this and then was told she would send the paperwork explaining to program to me via mail. I paid the first month and when I went to make the next payment I noticed that the accounts were charged a late fee so I called around XX/XX/XXXX and explained to the customer service rep that I was on a hardship program in which no late fees were to be charged as long as I stuck to the agreed upon payments. She looked at the accounts and told me I see you talked to whatever the dept was that handled the hardship program and told me I was right she was sorry and that the late fees would be removed and that was done. When I made the next payment I did verify that indeed they had removed the late charges. I made my payments for that month thus honoring the program agreement I entered into with Capital One. When I went to make the XX/XX/XXXX payment I noticed that Capital One had been reporting to the credit bureus every month that my cards were behind by this time in XX/XX/XXXX they had reported it as being something like 4 months behind. I called to question why they were reporting as late when I have honored my program agreement with them and paid the agreed upon payment of $XXXX on each card.  That’s when the scam came out. I was told that the “program” I am on doesn’t stop the late reporting because I am not paying enough to meet the monthly minimum required payment so legally they had to report it as late. My argument was we entered into an agreement which made my minimum due the $XXXX and I have been paying this so it is not late. She said just because I agreed to pay $XXXX to stop any negative reporting I had to pay whatever the required minimum would have beeen. So I asked her what’s the point of the “program” all I’m doing at this is paying CapitalOne to ruin my credit. In order to be put on the program I had to come up with a guaranteed amount that I would pay every month which I did that was their to opportunity to properly explain that the amount I chose was not going to be enough to prevent negative credit reporting but they didn’t even say one word about that. After I agreed to the program the woman told me that paper work explaining the program would be mailed to me. So at this point I am on a hardship program as long as the payments are made per our agreement I would stay on the program and no late fees would be charged. I still did not agree with the way they are reporting the accounts to the credit bureau so I asked to speak to a supervisor. This was yesterday XX/XX/XXXX and I was transferred to some guy named XXXX or XXXX and here’s where it really gets good. This guy tells me I’m not on any program and never have been yet every other person I talked to said I was on a program. I received some sort of documentation from Capital One about my program. What the XXXX happened to that agreement from the time that the customer rep transfered me to the supervisor and him getting on the phone. What XXXX. Every single person I talked to always referenced this hardship agreement as the “program” I am currently on except this guy he tells me it never existed there never was a program. As far as reporting to the credit bureau we’re doing everything legally obligated to do and we can’t do anything about that besides your currently not on any program. I explained I’m calling because I want to pay my debt but don’t cheat me. So he proceeds to see if I qualify for any “programs” and of course the answer is no so again I asked what about the program I’m on. Again he said your not on any program and when I questioned why was I sent information about my program if I’m not on One his response was exactly what did u get and when did I get it. I’m like I’m XXXX that packet and the exact date I received it is not at the top my priority list right now but you seem to have everything else on your computer so you should have that. I explained to him I called about getting on a program because I used the cards and I owe you the money I want pay it back. I’m just asking you to work with me. Then he proceeds to tell me that if l don’t pay $XXXX by XX/XX/XXXX on one account and $XXXX on the other by XX/XX/XXXX the accounts will be blocked and they would closed out and they would charge them off. This was a whole new level of the scam because none this was ever even mentioned when I entered into the hardship program. And the reason for that was that’s a different department they don’t do programs and they really don’t know this stuff. Are you XXXX kidding me. If these people don’t understand what the consequences are for a customer if an account gets a certain number of days past due they absolutely have no business entering into any hardship programs. Because look where Capital One has left me now 25 days to come up with money or the accounts are closed ruining my credit even more than they already have.   It is bad enough that they conduct business this way but the worst and most appalling thing is if I had not called to question the credit reporting a month from now I would have gotten a letter stating my accounts have been closed even though as far as I was told it’s all good your on a program as long as you pay $XXXX every month until the account is brought up to date. At that point you fall off the program and go back to business as usual. Even worse I told them work with me I want to pay my debt their response if you don’t pay those amounts by the dates given we’re closing the accounts and charging them off. How fiscally irresponsible is that. No wonder credit card interest rates are so high instead of working with honest people who want to pay back their debts they would rather close the accounts and charge the money off and move on In my case they even apparently made up this whole program I was in and basically charged me to ruin my credit and then we’ll just charge the money off anyway.
Debt collection,"I have been recieving phone calls from XXXX for about a week daily yesterday i answered the call on the XX/XX/XXXX they explained too me i owed money for medical! so i paid the amount after a manager named XXXX said he could lower it due to hardship, originally it was XXXX he lowered it to XXXX XXXX charge and XXXX a 2nd charge .. to my card! after i checked my records and saw that none of my medical dets are listed under the same creditors i knew they were frauds! i have called over 20 times all night till morning and they hang up on Me!! today is now thre XX/XX/XXXX and it is XXXX ; XXXX XXXX i have been calling for8 hours and i get hung up on each time? ive stopped my credit card but my card company says they will get the money because i gave them my #, but they were dishonest to get it how do i get my money back"
Debt collection,"I received a letter from SPRING OAKS CAPITAL LLC stating that they are a debt collector and they are trying to collect a debt that I allegedly owe to XXXX and that they will use any information I give them to help collect the alleged debt. I am not sure how these companies got my information, because I did not give it to them. This is fraud and identity theft. I did not give these companies permissible purpose or any other authorization to have, use, buy or sell my personal information. I am being preyed upon by this organization and it is trying to extort me. I sent this company a debt validation and cease and desist letter to which they did not respond. This company has damaged my credit and defamed my character. I do no not owe this company. I have a right to privacy and this company has violated my rights. They have reported this inaccurate erroneous information to the credit reporting agencies which has caused me to be denied for credit on multiple occasions. This account is listed on my credit report as an open collection as of XX/XX/2022."
Credit reporting or other personal consumer reports,"This is the several times I've complained about being a victim of identity theft. You must remove/block any items that was opened without my knowledge, consent, or authority within 4 business days with ( 1 ) appropriate proof of the identity of the consumer ; ( 2 ) a copy of an identity theft report ; ( 3 ) the identification of such information by the consumer; and ( 4 ) a statement by the consumer that the information is not information relating to any transaction by the consumer. 
XXXX XXXX ; XXXX XXXX XXXX XXXX, CA XXXX ; XXXX XXXX XXXX XXXX, CA XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX XXXX XXXX  XXXX Balance : {$2200.00} ; XXXX  XXXX Balance : {$2900.00} ; XXXX XXXX Balance : {$0.00} ; XXXX XXXX  XXXX XXXX XXXX : {$85.00} ; XXXX  XXXX Balance : {$0.00} ; XXXX XXXX XXXX Balance : {$110.00} ; XXXX XXXX XXXX Balance : {$20.00} ; XXXX XXXX XXXX Balance : {$310.00} ; XXXX XXXX XXXX Balance : {$200.00} ; XXXX XX/XX/XXXX ; XXXX XX/XX/XXXX ; XXXX XX/XX/XXXX ; XXXX XXXX XX/XX/XXXX ; XXXX XXXX XX/XX/XXXX."
Prepaid card,I have tried to use this prepaid giftcard from Amex. It will not allow me to purchase everything and I have contacted them but they have given me no solution. Its unused and is supposed to have XXXX dollars loaded onto it.
Credit reporting or other personal consumer reports,"i notice some items on my credit report that wasn't mine and i filed an identity theft report on XXXX XXXX and sent it certified mail to all 3 CRA 's, they received it on XXXX XXXX and the information was supposed to be blocked and deleted within 4 business days of the receipt.It is XXXX XXXX and nothing has happen as of yet. they have violated 15 usc 1681c-2 and i request the information from all 3 CRA 's be deleted at once before i turn this matter over to my attorney to sue."
Debt collection,"I am writing to formally lodge a complaint regarding the questionable work ethics and unprofessional conduct of PROCOLLECT. 
On XX/XX/XXXX, I was alarmed to find a collection notice from PROCOLLECT in my mailbox. The notice indicated that someone had fraudulently used my Social Security number to secure an apartment in XXXX XXXX, Florida, under the name XXXX XXXX, neither my name nor that of anyone I know. In my communication with PROCOLLECT, I was instructed to provide a police report along with a copy of my drivers license, which I promptly submitted. XXXX XXXX stated that {$4400.00} is owed, and an addition to a {$950.00} fee. 
They assigned me an account number and informed me that I would receive an update within XXXX days, which is the typical timeframe for resolving such issues. During my initial conversation with XXXX XXXX, she acknowledged receipt of the email I sent. However, when I followed up a month later, I spoke with a young lady who informed me that my case was "" still under investigation '' and that I would receive a call once the process was complete. 
As time passed without communication from PROCOLLECT, I reached out again in XXXX, only to be told by another representative that they were still awaiting the investigation 's outcome. I requested to speak directly with XXXX XXXX, but was informed that she was unavailable and busy with other matters. I left a message requesting a callback, but unfortunately, I never received any response. 
When I called again on XX/XX/XXXX, I was met with frustration. A young lady informed me that the previous representative had taken no action regarding my case and instructed me to resubmit my police report and identification. I was taken aback ; I had diligently followed their instructions back in XX/XX/XXXX, yet it seemed that my efforts had been entirely disregarded. This lack of progress and communication is deeply concerning, especially given the fact that my XXXX XXXX has plummeted from a respectable XXXX to a troubling XXXX due to this unresolved issue. 
The dismissive attitude I encountered during this last call was particularly alarming. When the representative told me, Look, I am trying to help you, so just resend the email you sent us back in XXXX, it felt more like an inconvenience for her than an XXXX effort to assist me. I requested to speak with XXXX XXXX, and she said that she wont be able to help me and that she was busy as well. 
The actions ( or lack thereof ) from PROCOLLECT have negatively impacted my credit and caused undue stress. And now I have to start all over again? Therefore, I request a thorough investigation into PROCOLLECT 's practices. It is essential to foster a professional work environment and ensure fair treatment, not only for myself but also for all individuals whose identities may have been compromised. 
I am available to discuss this matter in greater detail, and I welcome you to reach out to me via my email. Thank you for your attention to this urgent issue."
